Employee_ID,Employee_Name,Employee_Department,Client_ID,Client_Name,Client_Address,Product_ID,Product_Name,Product_Price,Order_Date,Quantity
7850,Umoxwxc Zzrlgd,HR,2889,Ompbc Nqxheosa Inc.,"103 Oak St, CityC, USA",3816,Widget B,16.23,2023-12-16,14
9462,Akjhunuh Nvwnyefl,IT,2292,Sgarfzdo Uasnumtv Inc.,"819 Elm St, CityD, USA",3784,Widget I,59.34,2023-11-20,10
4342,Tfniexxcj Hnzdnqg,Marketing,2469,Qkaqsbyeg Wgeyb Inc.,"578 Oak St, CityC, USA",3137,Widget G,82.77,2023-03-15,1
3417,Okarj Jfvjxx,Marketing,2861,Kbjln Tilauwh Inc.,"455 Elm St, CityB, Canada",3876,Widget N,23.6,2023-03-09,12
4778,Ghzkof Iiuramq,HR,2183,Bpcmhftjj Lswri Inc.,"813 Oak St, CityC, Canada",3082,Widget D,35.36,2023-11-13,19
7641,Akjhunuh Nvwnyefl,Marketing,2678,Kbjln Tilauwh Inc.,"455 Elm St, CityB, Canada",3888,Widget E,12.29,2023-01-19,18
9784,Ipjqmepw Vugrexutd,Marketing,2068,Fquoz Xjrqcuxn Inc.,"553 Pine St, CityC, Canada",3016,Widget N,23.6,2023-04-18,9
3663,Qqykkxg Isvpepe,Finance,2744,Zmupmwnaf Qatygvd Inc.,"878 Elm St, CityB, Canada",3640,Widget H,18.67,2023-09-23,15
4710,Ghzkof Iiuramq,IT,2801,Vifzr Uqcfi Inc.,"764 Pine St, CityA, Mexico",3567,Widget M,92.25,2023-02-12,5
4210,Tfniexxcj Hnzdnqg,HR,2250,Rkrwfdb Anwdaaw Inc.,"217 Main St, CityA, USA",3937,Widget G,82.77,2023-10-28,7
8878,Akjhunuh Nvwnyefl,Finance,2271,Scjhgmfx Jrkusy Inc.,"485 Oak St, CityD, Mexico",3528,Widget H,18.67,2023-10-25,16
1034,Ccwcgvpu Ufoprmgv,HR,2935,Ptmtqpsbs Rkyyeis Inc.,"954 Pine St, CityD, Canada",3195,Widget F,66.89,2023-11-25,5
2969,Qqykkxg Isvpepe,Finance,2741,Qysrcn Phizcu Inc.,"328 Elm St, CityA, Mexico",3612,Widget D,35.36,2023-11-19,4
2853,Okarj Jfvjxx,IT,2055,Scjhgmfx Jrkusy Inc.,"485 Oak St, CityD, Mexico",3718,Widget C,98.05,2023-03-02,10
9833,Qqykkxg Isvpepe,Marketing,2125,Kbjln Tilauwh Inc.,"455 Elm St, CityB, Canada",3298,Widget A,73.07,2023-10-24,4
4232,Akjhunuh Nvwnyefl,Finance,2756,Ujfaia Zryuqayac Inc.,"971 Main St, CityA, USA",3707,Widget K,21.31,2023-04-01,18
5470,Ghzkof Iiuramq,Sales,2119,Scjhgmfx Jrkusy Inc.,"485 Oak St, CityD, Mexico",3638,Widget C,98.05,2023-11-20,19
7679,Umoxwxc Zzrlgd,Finance,2476,Rkrwfdb Anwdaaw Inc.,"217 Main St, CityA, USA",3421,Widget O,97.34,2023-03-28,14
1630,Dcasrot Wcupzmaph,IT,2737,Ompbc Nqxheosa Inc.,"103 Oak St, CityC, USA",3258,Widget J,15.5,2023-09-11,8
9026,Ghzkof Iiuramq,Sales,2334,Bpcmhftjj Lswri Inc.,"813 Oak St, CityC, Canada",3069,Widget J,15.5,2023-12-19,17
3115,Xuwdvrgzs Mjbpgnpuk,Finance,2382,Gkyxagg Nydryuh Inc.,"179 Elm St, CityB, Canada",3826,Widget G,82.77,2023-10-22,16
5657,Ccwcgvpu Ufoprmgv,Sales,2022,Qysrcn Phizcu Inc.,"328 Elm St, CityA, Mexico",3688,Widget C,98.05,2023-04-04,9
5003,Ghzkof Iiuramq,IT,2433,Rkrwfdb Anwdaaw Inc.,"217 Main St, CityA, USA",3730,Widget E,12.29,2023-12-01,19
6254,Umoxwxc Zzrlgd,IT,2226,Ujfaia Zryuqayac Inc.,"971 Main St, CityA, USA",3270,Widget D,35.36,2023-02-09,12
3867,Okarj Jfvjxx,Finance,2005,Zmupmwnaf Qatygvd Inc.,"878 Elm St, CityB, Canada",3684,Widget M,92.25,2023-05-07,20
